scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG8,3400001,3450000,3423937,2911,1361,9.8087,6.3587,0.2134,0.0166,0.0142
LG8,3450001,3500000,3475561,2656,1328,8.6163,6.9663,0.1059,0.0083,0.007
LG8,3500001,3550000,3525168,3061,1483,15.0725,16.01,-0.0302,-0.0042,-0.0036
LG8,3550001,3600000,3566334,2361,1087,11.325,11.5625,-0.0104,-0.0011,-0.001
LG8,3600001,3650000,3625746,3213,1620,14.78,14.0425,0.0256,0.0025,0.0021
LG8,3650001,3700000,3675247,3441,1701,9.7775,13.2775,-0.1518,-0.0124,-0.0111
LG8,3700001,3750000,3725595,3234,1625,15.5213,42.9712,-0.4693,-0.1362,-0.1013
LG8,3750001,3800000,3774448,2584,1329,5.3412,9.4537,-0.278,-0.0223,-0.0186
LG8,3800001,3850000,3824438,2796,1364,5.9175,7.455,-0.115,-0.0074,-0.0069
LG8,3850001,3900000,3875882,3152,1620,14.9425,20.08,-0.1467,-0.0377,-0.0277
LG8,3900001,3950000,3925254,2746,1331,10.8963,15.4087,-0.1715,-0.0805,-0.0474
LG8,3950001,4000000,3976150,2499,1229,15.3763,4.5887,0.5403,0.0947,0.0721
LG8,4000001,4050000,4023323,3205,1475,9.8438,7.9813,0.1045,0.0082,0.0071
LG8,4050001,4100000,4076692,3328,1627,7.6813,8.4313,-0.0465,-0.0044,-0.0038
LG8,4100001,4150000,4125865,3365,1760,38.5662,31.3037,0.1039,0.0232,0.0199
LG8,4150001,4200000,4176605,2684,1251,14.1725,12.4975,0.0628,0.0047,0.0044
LG8,4200001,4250000,4224546,3123,1665,9.6363,9.5362,0.0052,0.0003,0.0003
LG8,4250001,4300000,4275100,3130,1624,13.0513,12.9138,0.0053,0.0005,0.0004
LG8,4300001,4350000,4326934,3327,1678,15.0962,8.7212,0.2677,0.0209,0.0177
LG8,4350001,4400000,4373739,3510,1633,12.1175,9.78,0.1067,0.0086,0.0077
LG8,4400001,4450000,4423321,3100,1580,5.6187,9.3562,-0.2496,-0.0121,-0.0114
LG8,4450001,4500000,4479631,2713,1241,5.9425,8.905,-0.1995,-0.0149,-0.0129
LG8,4500001,4550000,4525677,2758,1272,2.2275,1.6025,0.1632,0.0025,0.0024
LG8,4550001,4600000,4576519,3395,1763,7.6687,10.1188,-0.1377,-0.0107,-0.0098
LG8,4600001,4650000,4626183,3295,1830,31.9025,34.94,-0.0454,-0.0131,-0.0112
LG8,4650001,4700000,4674386,3147,1169,11.3712,9.7713,0.0757,0.0084,0.0073
LG8,4700001,4750000,4724827,2499,1140,6.245,5.9575,0.0236,0.0016,0.0015
LG8,4750001,4800000,4774832,3123,1608,12.155,9.555,0.1198,0.0139,0.0121
LG8,4800001,4850000,4823892,3243,1816,20.5587,15.1337,0.152,0.0267,0.0223
LG8,4850001,4900000,4884231,1737,945,22.5775,5.4525,0.611,0.1092,0.0773
LG8,4900001,4950000,4925848,3123,1703,9.8287,10.6537,-0.0403,-0.004,-0.0035
LG8,4950001,5000000,4974256,3583,1765,12.6237,13.6237,-0.0381,-0.0034,-0.0031
LG8,5000001,5050000,5024098,3664,1912,16.5062,31.2688,-0.309,-0.0434,-0.0374
LG8,5050001,5100000,5075098,3054,1560,4.4325,6.0575,-0.1549,-0.0055,-0.0052
LG8,5100001,5150000,5127310,3176,1585,7.4787,7.6037,-0.0083,-0.0007,-0.0006
LG8,5150001,5200000,5174605,3368,1800,18.6625,17.8375,0.0226,0.0038,0.003
